model,Correct,Incorrect,Unparsable,Std Dev Correct,Std Dev Incorrect,Std Dev Unparsable
Model A,0,0,4590,0.0,0.0,0.0
Model B,0,0,4590,0.0,0.0,0.0
Model C,0,0,4590,0.0,0.0,0.0
Model D,0,0,4590,0.0,0.0,0.0
Model E,70,336,4184,0.12256116085741252,0.26049717018451446,0.2839837456596929
Model F,0,0,4590,0.0,0.0,0.0
Model G,0,0,4590,0.0,0.0,0.0
Model H,0,0,4590,0.0,0.0,0.0
Model I,0,0,4590,0.0,0.0,0.0
Model J,0,0,4590,0.0,0.0,0.0
Model K,0,0,4590,0.0,0.0,0.0
Model L,0,0,4590,0.0,0.0,0.0
Model M,0,0,4590,0.0,0.0,0.0
Model N,85,349,4156,0.13483153813293985,0.2650827565483581,0.2926289322059079
Model O,0,0,4590,0.0,0.0,0.0
Model P,0,0,4590,0.0,0.0,0.0
