question_id,prompt,generated_answer,is_correct,is_unparsable
Question_1,"Nanoparticles can be engineered to exhibit certain behaviors within biological systems, which can be influenced by their size, shape, surface charge, and chemical modifications. What is the effect of nanoparticle size on their uptake by phagocytic cells?",Unparsable,False,True
Question_2,"The administration route of nanoparticles can significantly affect their behavior in vivo, particularly in terms of tissue absorption, metabolism, and elimination. Which administration route for nanoparticles resulted in the highest and most targeted pulmonary uptake?",Unparsable,False,True
Question_3,"The physicochemical properties of nanoparticles, such as size and charge, can influence their interaction with biological systems and their subsequent uptake by cells. What was the observed effect of fluorescent labelling on the size and charge of poly(lactic-co-glycolic acid) (PLGA) nanoparticles?",Unparsable,False,True
Question_4,"In the context of drug delivery, the use of biocompatible and biodegradable polymers is crucial for reducing toxicity and enhancing the structural stability of nanoparticles. Which biocompatible and biodegradable polymer is approved for medical use and is known for its low toxicity and satisfactory structural stability?",Unparsable,False,True
Question_5,"The method of nanoparticle administration can influence their distribution and retention in specific tissues, which is critical for targeted drug delivery. What was the distribution pattern of intravenously administered nanoparticles in mice?",Unparsable,False,True
Question_6,"The uptake of nanoparticles by immune cells can be influenced by the physicochemical properties of the nanoparticles, which can be tailored to target specific cell types. Which immune cells demonstrated a higher tendency for nanoparticle uptake irrespective of the time after nanoparticle administration?",Unparsable,False,True
Question_7,"The stability and homogeneity of nanoparticle suspensions are often assessed using the polydispersity index (PDI), which provides information on the size distribution of the particles. What does a low polydispersity index (PDI) value indicate about the size distribution of nanoparticles?",Unparsable,False,True
Question_8,"The zeta potential of nanoparticles is a measure of the surface charge, which can influence the interaction between nanoparticles and biological membranes. What charge did all PLGA-NH2 nanoparticles display?",Unparsable,False,True
Question_9,"The use of radiolabelling techniques, such as with the isotope 89Zr, allows for the tracking of nanoparticles within biological systems using imaging modalities like positron emission tomography (PET). What is the half-life of the isotope 89Zr used for PET imaging?",Unparsable,False,True
Question_10,The interaction of nanoparticles with immune cells can be quantified using techniques such as fluorescence-activated cell sorting (FACS) analysis. Which lung immune cells showed a decline in nanoparticle uptake at 48 hours after intranasal administration?,Unparsable,False,True
Question_11,Alkaline hydrogen peroxide (AHP) treatment is used to enhance the digestibility of lignocellulosic biomass by removing lignin and other components that limit enzyme access to cellulose. What is the primary purpose of using alkaline hydrogen peroxide (AHP) treatment on lignocellulosic biomass?,Unparsable,False,True
Question_12,The presence of phenolic compounds in agricultural waste like olive pomace can inhibit the growth and germination of plants due to their phytotoxic nature. Why is the presence of phenolic compounds in agricultural waste problematic for the environment?,Unparsable,False,True
Question_13,"Lipid oxidation in feedstocks can lead to the formation of toxic compounds, which may reduce feed palatability and cause oxidative stress in animals. What is a negative effect of lipid oxidation in animal feedstocks?",Unparsable,False,True
Question_14,"In the context of animal feed, crude proteins, neutral detergent fibers, and acid detergent fibers are important components that contribute to the nutritional value of the feed. Which components are significant for the nutritional value of animal feed?",Unparsable,False,True
Question_15,"Enzymatic hydrolysis is a process where enzymes break down complex molecules into simpler sugars, which can be used for fermentation or as feedstock. What is the outcome of enzymatic hydrolysis in the context of feedstock treatment?",Unparsable,False,True
Question_16,"In vitro organic matter digestibility (IVOMD) is an assay used to estimate the digestibility of feed materials, which is an important factor in evaluating the quality of animal feed. What does in vitro organic matter digestibility (IVOMD) measure in the context of animal feed?",Unparsable,False,True
Question_17,"Metabolizable energy (ME) is a measure of the energy content of feed that is available for metabolism by the animal after the losses in feces, urine, and gases have been subtracted. What does metabolizable energy (ME) indicate in animal feed?",Unparsable,False,True
Question_18,"Alkaline pretreatment methods, such as the use of sodium hydroxide (NaOH), are known to effectively remove lignin from lignocellulosic biomass, which is a critical step in enhancing its digestibility. What is the effect of alkaline pretreatment methods like sodium hydroxide (NaOH) on lignocellulosic biomass?",Unparsable,False,True
Question_19,Hydrogen peroxide (H2O2) is used in various treatment processes due to its properties as a non-toxic solvent that does not produce harmful by-products during use or disposal. Why is hydrogen peroxide (H2O2) considered an environmentally friendly treatment option?,Unparsable,False,True
Question_20,"The fatty acid profile of feedstocks, including the presence of saturated and unsaturated fatty acids, is an important aspect of their nutritional value for animal feed. What is the significance of the fatty acid profile in animal feedstocks?",Unparsable,False,True
Question_21,Functional composite materials are engineered materials that combine different properties to meet specific requirements. What role are functional composite materials expected to play in addressing societal challenges?,Unparsable,False,True
Question_22,Composite materials can be designed to have specific functionalities that are required for certain applications. Which of the following is NOT an example of the functionalities that can be integrated into composite materials?,Unparsable,False,True
Question_23,"The development of new materials is a continuous process, contributing to the diversity of composite materials. What does the ongoing discovery of new materials imply for the future of composite materials?",Unparsable,False,True
Question_24,"Composite materials can be tailored for use in various sectors, including energy. For which of the following applications can functional composite materials be specifically designed?",Unparsable,False,True
Question_25,Composite materials can be engineered to exhibit specific physical properties for advanced applications. Which property of composite materials can be engineered to change in response to an external stimulus?,Unparsable,False,True
Question_26,The interdisciplinary nature of composite materials research involves the integration of various scientific fields. Which fields of science are involved in the research and development of functional composite materials?,Unparsable,False,True
Question_27,Composite materials can be designed to have enhanced thermal properties. What thermal property can be engineered into composite materials for specific applications?,Unparsable,False,True
Question_28,Composite materials can be designed to interact with light in various ways for different applications. Which optical property can be integrated into composite materials?,Unparsable,False,True
Question_29,Composite materials can be designed to have specific electrical properties. What electrical property can be engineered into composite materials?,Unparsable,False,True
Question_30,The functionality of composite materials is a key aspect in their development for specific applications. What is the primary requirement for a composite material to be considered functional?,Unparsable,False,True
Question_31,"Nanofluids can be used in enhanced oil recovery (EOR) to improve the extraction of oil from reservoirs. These fluids can alter the properties of the reservoir by reducing interfacial tension, changing wettability, and increasing disjoining pressure. What is the primary role of polymer stabilizers in zinc oxide (ZnO) nanofluids used for enhanced oil recovery?",Unparsable,False,True
Question_32,"In the context of nanofluids for oil recovery, the stability of the nanoparticles within the base fluid is crucial for effective application. This stability can be affected by various factors including the presence of stabilizing agents. Which stabilizing agent was found to record the highest oil recovery when used with ZnO nanofluids?",Unparsable,False,True
Question_33,"Nanoparticles such as ZnO are used in the preparation of nanofluids for enhanced oil recovery due to their unique properties, which include the ability to adsorb on rock surfaces. What is the advantage of ZnO nanoparticles having a large surface area in the context of enhanced oil recovery?",Unparsable,False,True
Question_34,"The wettability of a formation is a critical factor in oil recovery processes. Nanofluids can be used to alter the wettability of the formation's surface, which can enhance oil recovery. What is the effect of nanoparticles rearranging at the formation surface in enhanced oil recovery?",Unparsable,False,True
Question_35,The interfacial tension (IFT) between oil and water in a reservoir can significantly affect the efficiency of oil recovery. Nanofluids can be used to reduce this interfacial tension. How do nanofluids containing polymeric stabilizing agents compare to ZnO nanofluids without stabilizing agents in terms of interfacial tension reduction?,Unparsable,False,True
Question_36,"The synthesis of nanoparticles involves various chemical reactions and processes. Zinc oxide nanoparticles can be synthesized using a sol–gel method, which involves chemical reactions in a solution that lead to the formation of a gel. What is the purpose of adding sodium hydroxide during the synthesis of zinc oxide nanoparticles using the sol–gel method?",Unparsable,False,True
Question_37,The size of nanoparticles is a critical parameter that influences their properties and behavior in applications such as enhanced oil recovery. What is the average particle size of the synthesized ZnO nanoparticles used in the preparation of nanofluids for enhanced oil recovery?,Unparsable,False,True
Question_38,"The stability of nanofluids is often assessed using various tests, including UV–vis spectrophotometry, which measures the absorbance of light by the nanofluids at different wavelengths. What does a redshift in the UV–vis absorbance curve of ZnO nanofluids indicate?",A,False,False
Question_39,"The zeta potential of a nanofluid is a measure of the stability of the nanoparticles within the fluid. It is determined by the surface charge of the nanoparticles, which affects their ability to remain suspended in the fluid. What does a zeta potential value of -43.7 mV indicate about the stability of ZnO nanofluids?",Unparsable,False,True
Question_40,"In the process of enhanced oil recovery, the contact angle of a fluid on a rock surface can provide insights into the wettability of the formation. A lower contact angle indicates a more water-wet surface, which is generally favorable for oil recovery. What was the observed effect of adding PVA and PVP stabilizers to ZnO nanofluids on the contact angle on a PDMS surface?",Unparsable,False,True
Question_41,"In crystal plasticity, the deformation gradient can be decomposed into lattice and plastic components. What is the multiplicative decomposition of the deformation gradient in crystal plasticity?",Unparsable,False,True
Question_42,The deformation gradient in crystal plasticity has a specific initial condition in a stress-free single crystal. What is the initial condition of the deformation gradient in a stress-free single crystal?,Unparsable,False,True
Question_43,The plastic deformation in crystal plasticity is attributed to dislocation slip. What represents the deformation gradient of an infinitesimal material element attributed to dislocation slip?,Unparsable,False,True
Question_44,"In crystal plasticity, slip systems are defined by specific vectors in the lattice configuration. What defines a slip system in crystal plasticity?",Unparsable,False,True
Question_45,The evolution of the plastic component of the deformation gradient is governed by slip rates on individual slip systems. What is the flow rule that governs the evolution of FP?,Unparsable,False,True
Question_46,The macroscopic force balance in crystal plasticity is an equation that relates to the stress within the material. Which equation represents the macroscopic force balance in crystal plasticity?,Unparsable,False,True
Question_47,The microscopic force balance for each slip system involves the relationship between the slip rate and the resolved shear stress. What is the microscopic force balance equation for each slip system?,Unparsable,False,True
Question_48,"In crystal plasticity, the free energy density depends on the lattice Lagrangian strain. How is the lattice Lagrangian strain EL defined in terms of the lattice component FL?",Unparsable,False,True
Question_49,The geometrically necessary dislocation density tensor G is defined in the context of crystal plasticity. How is the geometrically necessary dislocation density tensor G defined?,Unparsable,False,True
Question_50,The initial state of a polycrystal in the diffuse-interface model is defined by a specific choice of FL and FP. What is the initial state of FL and FP in the diffuse-interface model for a polycrystal?,Unparsable,False,True
Question_51,"In quantum computing, a quantum circuit is a model for quantum computation in which a computation is a sequence of quantum gates, which are reversible transformations on a quantum mechanical analog of an n-bit register. This sequence of gates is called a quantum algorithm. What is the purpose of multi control quantum gates in a quantum classification circuit?",A,False,False
Question_52,"In quantum machine learning, the concept of 'sublabels' is introduced to assist in classifying data with intricate distribution, where 'sublabel' represents a minor label subordinate to the main one, also called 'subclass'. What is the role of 'sublabels' in quantum machine learning for data classification?",Unparsable,False,True
Question_53,"In quantum computing, the inner product of quantum states is a measure that can be used to determine the 'distance' or similarity between the states. This is useful in algorithms that involve classification or pattern recognition. Why is the inner product used in quantum classification algorithms instead of Euclidean distance?",Unparsable,False,True
Question_54,"In quantum computing, a qubit can represent a data point in a two-dimensional space, and its state can be described by a combination of angles that map the data point to the qubit's state. How are two-dimensional data points mapped to the state of a qubit in a quantum classification algorithm?",Unparsable,False,True
Question_55,"Quantum algorithms can be applied to classify phases in materials, such as distinguishing between metallic and insulating states. In the context of materials science, what is an application of quantum classification algorithms?",Unparsable,False,True
Question_56,"In quantum machine learning, the training data set is used to find patterns and make predictions about new, unseen data. The training data consists of vectors with associated labels. What does the label 'yi' represent in a quantum machine learning training data set?",Unparsable,False,True
Question_57,"In quantum machine learning, Lloyd's algorithm is used for unsupervised machine learning to assign training vectors to clusters based on the closest mean vector. What is the purpose of Lloyd's algorithm in the context of quantum machine learning?",A,False,False
Question_58,"In quantum machine learning, the concept of 'sublabels' is used to assist in the classification of data. Algorithms are applied to adjust and refine these sublabels to better represent the training data. What is the goal of applying adjusting algorithms to 'sublabels' in quantum machine learning?",Unparsable,False,True
Question_59,"In quantum computing, a Hadamard gate is a one-qubit rotation, mapping the basis state |0⟩ to (|0⟩ + |1⟩)/√2 and |1⟩ to (|0⟩ - |1⟩)/√2. It is often used to create superposition states. What is the purpose of applying Hadamard gates to label qubits in a quantum classification circuit?",Unparsable,False,True
Question_60,"In quantum machine learning, the classification of test data is performed by comparing probabilities of different outcomes after applying a quantum classification circuit. In quantum machine learning, how is the label for a new test vector determined?",Unparsable,False,True
Question_61,Titanium dioxide nanorods are known for their semiconducting and catalytic properties and have been utilized in various applications due to their stability and low cost. What is a known application of titanium dioxide nanoparticles?,Unparsable,False,True
