Question,Answer,Title,DOI,Authors
What is the effect of nanoparticle size on their uptake by phagocytic cells?,B,Real-time in vivo behaviour of PLGA nanoparticles across various administration routes,https://doi.org/10.1186/s41181-023-00227-x,"['Baek', 'et al.']"
Which administration route for nanoparticles resulted in the highest and most targeted pulmonary uptake?,C,Real-time in vivo behaviour of PLGA nanoparticles across various administration routes,https://doi.org/10.1186/s41181-023-00227-x,"['Baek', 'et al.']"
What was the observed effect of fluorescent labelling on the size and charge of poly(lactic-co-glycolic acid) (PLGA) nanoparticles?,C,Real-time in vivo behaviour of PLGA nanoparticles across various administration routes,https://doi.org/10.1186/s41181-023-00227-x,"['Baek', 'et al.']"
Which biocompatible and biodegradable polymer is approved for medical use and is known for its low toxicity and satisfactory structural stability?,B,Real-time in vivo behaviour of PLGA nanoparticles across various administration routes,https://doi.org/10.1186/s41181-023-00227-x,"['Baek', 'et al.']"
What was the distribution pattern of intravenously administered nanoparticles in mice?,A,Real-time in vivo behaviour of PLGA nanoparticles across various administration routes,https://doi.org/10.1186/s41181-023-00227-x,"['Baek', 'et al.']"
Which immune cells demonstrated a higher tendency for nanoparticle uptake irrespective of the time after nanoparticle administration?,B,Real-time in vivo behaviour of PLGA nanoparticles across various administration routes,https://doi.org/10.1186/s41181-023-00227-x,"['Baek', 'et al.']"
What does a low polydispersity index (PDI) value indicate about the size distribution of nanoparticles?,C,Real-time in vivo behaviour of PLGA nanoparticles across various administration routes,https://doi.org/10.1186/s41181-023-00227-x,"['Baek', 'et al.']"
What charge did all PLGA-NH2 nanoparticles display?,D,Real-time in vivo behaviour of PLGA nanoparticles across various administration routes,https://doi.org/10.1186/s41181-023-00227-x,"['Baek', 'et al.']"
What is the half-life of the isotope 89Zr used for PET imaging?,C,Real-time in vivo behaviour of PLGA nanoparticles across various administration routes,https://doi.org/10.1186/s41181-023-00227-x,"['Baek', 'et al.']"
Which lung immune cells showed a decline in nanoparticle uptake at 48 hours after intranasal administration?,B,Real-time in vivo behaviour of PLGA nanoparticles across various administration routes,https://doi.org/10.1186/s41181-023-00227-x,"['Baek', 'et al.']"
What is the primary purpose of using alkaline hydrogen peroxide (AHP) treatment on lignocellulosic biomass?,B,Effect of Alkaline Hydrogen Peroxide Pretreatment on In Vitro Rumen Digestibility of Exhausted Olive Pomace,https://doi.org/10.1186/s40538-024-00533-9,['Masmoudi et al.']
Why is the presence of phenolic compounds in agricultural waste problematic for the environment?,C,Effect of Alkaline Hydrogen Peroxide Pretreatment on In Vitro Rumen Digestibility of Exhausted Olive Pomace,https://doi.org/10.1186/s40538-024-00533-9,['Masmoudi et al.']
What is a negative effect of lipid oxidation in animal feedstocks?,C,Effect of Alkaline Hydrogen Peroxide Pretreatment on In Vitro Rumen Digestibility of Exhausted Olive Pomace,https://doi.org/10.1186/s40538-024-00533-9,['Masmoudi et al.']
Which components are significant for the nutritional value of animal feed?,A,Effect of Alkaline Hydrogen Peroxide Pretreatment on In Vitro Rumen Digestibility of Exhausted Olive Pomace,https://doi.org/10.1186/s40538-024-00533-9,['Masmoudi et al.']
What is the outcome of enzymatic hydrolysis in the context of feedstock treatment?,C,Effect of Alkaline Hydrogen Peroxide Pretreatment on In Vitro Rumen Digestibility of Exhausted Olive Pomace,https://doi.org/10.1186/s40538-024-00533-9,['Masmoudi et al.']
What does in vitro organic matter digestibility (IVOMD) measure in the context of animal feed?,C,Effect of Alkaline Hydrogen Peroxide Pretreatment on In Vitro Rumen Digestibility of Exhausted Olive Pomace,https://doi.org/10.1186/s40538-024-00533-9,['Masmoudi et al.']
What does metabolizable energy (ME) indicate in animal feed?,B,Effect of Alkaline Hydrogen Peroxide Pretreatment on In Vitro Rumen Digestibility of Exhausted Olive Pomace,https://doi.org/10.1186/s40538-024-00533-9,['Masmoudi et al.']
What is the effect of alkaline pretreatment methods like sodium hydroxide (NaOH) on lignocellulosic biomass?,D,Effect of Alkaline Hydrogen Peroxide Pretreatment on In Vitro Rumen Digestibility of Exhausted Olive Pomace,https://doi.org/10.1186/s40538-024-00533-9,['Masmoudi et al.']
Why is hydrogen peroxide (H2O2) considered an environmentally friendly treatment option?,C,Effect of Alkaline Hydrogen Peroxide Pretreatment on In Vitro Rumen Digestibility of Exhausted Olive Pomace,https://doi.org/10.1186/s40538-024-00533-9,['Masmoudi et al.']
